,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
195,2015,1,1,4,UA,1224,N87531,SFO,LAX,0600,0605,5,11.0,616.0,88,72.0,52.0,337,708.0,9.0,0728,0717,-11,0,0,,,,,,
372,2015,1,1,4,UA,1721,N75425,LAX,SFO,0603,0601,-2,13.0,614.0,87,75.0,54.0,337,708.0,8.0,0730,0716,-14,0,0,,,,,,
707,2015,1,1,4,VX,922,N361VA,SFO,LAX,0645,0638,-7,9.0,647.0,80,71.0,54.0,337,741.0,8.0,0805,0749,-16,0,0,,,,,,
763,2015,1,1,4,AA,338,N3DJAA,LAX,SFO,0650,0644,-6,21.0,705.0,80,79.0,55.0,337,800.0,3.0,0810,0803,-7,0,0,,,,,,
1255,2015,1,1,4,AA,76,N3HPAA,SFO,LAX,0730,0723,-7,15.0,738.0,85,97.0,49.0,337,827.0,33.0,0855,0900,5,0,0,,,,,,
1566,2015,1,1,4,VX,1930,N838VA,SFO,LAX,0800,0759,-1,14.0,813.0,80,75.0,53.0,337,906.0,8.0,0920,0914,-6,0,0,,,,,,
1921,2015,1,1,4,UA,1460,N75426,LAX,SFO,0820,0816,-4,15.0,831.0,99,103.0,55.0,337,926.0,33.0,0959,0959,0,0,0,,,,,,
2300,2015,1,1,4,UA,479,N476UA,SFO,LAX,0850,0850,0,17.0,907.0,88,97.0,53.0,337,1000.0,27.0,1018,1027,9,0,0,,,,,,
2446,2015,1,1,4,AA,338,N3DJAA,SFO,LAX,0900,0857,-3,12.0,909.0,90,76.0,54.0,337,1003.0,10.0,1030,1013,-17,0,0,,,,,,
2549,2015,1,1,4,WN,920,N655WN,SFO,LAX,0905,0900,-5,11.0,911.0,80,73.0,54.0,337,1005.0,8.0,1025,1013,-12,0,0,,,,,,
2607,2015,1,1,4,VX,935,N361VA,LAX,SFO,0910,0906,-4,7.0,913.0,80,71.0,56.0,337,1009.0,8.0,1030,1017,-13,0,0,,,,,,
2944,2015,1,1,4,UA,1239,N76505,LAX,SFO,0935,0959,24,17.0,1016.0,90,80.0,57.0,337,1113.0,6.0,1105,1119,14,0,0,,,,,,
3165,2015,1,1,4,AA,2378,N3CBAA,LAX,SFO,0950,0952,2,17.0,1009.0,85,76.0,55.0,337,1104.0,4.0,1115,1108,-7,0,0,,,,,,
3233,2015,1,1,4,UA,1067,N54241,SFO,LAX,0955,0950,-5,21.0,1011.0,94,92.0,59.0,337,1110.0,12.0,1129,1122,-7,0,0,,,,,,
3410,2015,1,1,4,WN,2346,N353SW,SFO,LAX,1005,0959,-6,18.0,1017.0,80,78.0,55.0,337,1112.0,5.0,1125,1117,-8,0,0,,,,,,
4116,2015,1,1,4,WN,1009,N655WN,LAX,SFO,1055,1104,9,8.0,1112.0,75,70.0,56.0,337,1208.0,6.0,1210,1214,4,0,0,,,,,,
4282,2015,1,1,4,UA,731,N476UA,LAX,SFO,1104,1119,15,25.0,1144.0,95,87.0,58.0,337,1242.0,4.0,1239,1246,7,0,0,,,,,,
4289,2015,1,1,4,UA,769,N801UA,SFO,LAX,1105,1101,-4,23.0,1124.0,93,98.0,52.0,337,1216.0,23.0,1238,1239,1,0,0,,,,,,
4362,2015,1,1,4,VX,330,N634VA,SFO,LAX,1110,1102,-8,17.0,1119.0,80,77.0,55.0,337,1214.0,5.0,1230,1219,-11,0,0,,,,,,
4594,2015,1,1,4,VX,927,N852VA,LAX,SFO,1125,1124,-1,10.0,1134.0,80,69.0,55.0,337,1229.0,4.0,1245,1233,-12,0,0,,,,,,
4789,2015,1,1,4,WN,2509,N372SW,SFO,LAX,1135,1134,-1,26.0,1200.0,80,89.0,54.0,337,1254.0,9.0,1255,1303,8,0,0,,,,,,
5095,2015,1,1,4,WN,2779,N353SW,LAX,SFO,1155,1155,0,9.0,1204.0,75,67.0,54.0,337,1258.0,4.0,1310,1302,-8,0,0,,,,,,
5333,2015,1,1,4,UA,706,N475UA,SFO,LAX,1207,1158,-9,19.0,1217.0,93,93.0,59.0,337,1316.0,15.0,1340,1331,-9,0,0,,,,,,
5448,2015,1,1,4,AA,2378,N3CBAA,SFO,LAX,1215,1211,-4,16.0,1227.0,80,87.0,55.0,337,1322.0,16.0,1335,1338,3,0,0,,,,,,
5649,2015,1,1,4,UA,456,N833UA,LAX,SFO,1230,1225,-5,20.0,1245.0,81,78.0,55.0,337,1340.0,3.0,1351,1343,-8,0,0,,,,,,
5941,2015,1,1,4,WN,1098,N655WN,SFO,LAX,1250,1249,-1,10.0,1259.0,80,91.0,54.0,337,1353.0,27.0,1410,1420,10,0,0,,,,,,
6507,2015,1,1,4,UA,1159,N78501,SFO,LAX,1323,1322,-1,17.0,1339.0,96,80.0,52.0,337,1431.0,11.0,1459,1442,-17,0,0,,,,,,
6525,2015,1,1,4,VX,928,N528VA,SFO,LAX,1325,1321,-4,11.0,1332.0,75,72.0,54.0,337,1426.0,7.0,1440,1433,-7,0,0,,,,,,
6532,2015,1,1,4,WN,2598,N372SW,LAX,SFO,1325,1332,7,8.0,1340.0,80,68.0,54.0,337,1434.0,6.0,1445,1440,-5,0,0,,,,,,
6603,2015,1,1,4,VX,929,N839VA,LAX,SFO,1330,1324,-6,8.0,1332.0,75,69.0,55.0,337,1427.0,6.0,1445,1433,-12,0,0,,,,,,
7689,2015,1,1,4,WN,1187,N655WN,LAX,SFO,1440,1514,34,14.0,1528.0,75,75.0,54.0,337,1622.0,7.0,1555,1629,34,0,0,,0.0,0.0,24.0,10.0,0.0
8216,2015,1,1,4,UA,1670,N73278,LAX,SFO,1513,1549,36,13.0,1602.0,79,68.0,51.0,337,1653.0,4.0,1632,1657,25,0,0,,0.0,0.0,25.0,0.0,0.0
8251,2015,1,1,4,WN,2687,N372SW,SFO,LAX,1515,1515,0,15.0,1530.0,85,80.0,54.0,337,1624.0,11.0,1640,1635,-5,0,0,,,,,,
8298,2015,1,1,4,UA,390,N802UA,SFO,LAX,1519,1515,-4,16.0,1531.0,90,91.0,55.0,337,1626.0,20.0,1649,1646,-3,0,0,,,,,,
8550,2015,1,1,4,VX,932,N623VA,SFO,LAX,1535,1531,-4,15.0,1546.0,80,80.0,59.0,337,1645.0,6.0,1655,1651,-4,0,0,,,,,,
8638,2015,1,1,4,VX,933,N528VA,LAX,SFO,1540,1542,2,8.0,1550.0,80,69.0,56.0,337,1646.0,5.0,1700,1651,-9,0,0,,,,,,
8931,2015,1,1,4,UA,460,N405UA,LAX,SFO,1557,1556,-1,22.0,1618.0,81,78.0,53.0,337,1711.0,3.0,1718,1714,-4,0,0,,,,,,
8988,2015,1,1,4,AA,209,N3CBAA,LAX,SFO,1600,1552,-8,15.0,1607.0,75,71.0,52.0,337,1659.0,4.0,1715,1703,-12,0,0,,,,,,
9130,2015,1,1,4,VX,936,N851VA,SFO,LAX,1610,1604,-6,10.0,1614.0,80,79.0,57.0,337,1711.0,12.0,1730,1723,-7,0,0,,,,,,
9373,2015,1,1,4,WN,1276,N655WN,SFO,LAX,1625,1657,32,10.0,1707.0,80,71.0,54.0,337,1801.0,7.0,1745,1808,23,0,0,,0.0,0.0,0.0,23.0,0.0
9422,2015,1,1,4,UA,488,N811UA,SFO,LAX,1630,1636,6,7.0,1643.0,87,78.0,50.0,337,1733.0,21.0,1757,1754,-3,0,0,,,,,,
9504,2015,1,1,4,VX,923,N628VA,LAX,SFO,1635,1638,3,14.0,1652.0,75,78.0,59.0,337,1751.0,5.0,1750,1756,6,0,0,,,,,,
10042,2015,1,1,4,WN,2776,N372SW,LAX,SFO,1710,1705,-5,14.0,1719.0,75,79.0,59.0,337,1818.0,6.0,1825,1824,-1,0,0,,,,,,
10096,2015,1,1,4,VX,945,N639VA,LAX,SFO,1715,1724,9,10.0,1734.0,75,74.0,59.0,337,1833.0,5.0,1830,1838,8,0,0,,,,,,
10691,2015,1,1,4,WN,1585,N353SW,SFO,LAX,1750,1750,0,22.0,1812.0,85,83.0,57.0,337,1909.0,4.0,1915,1913,-2,0,0,,,,,,
10859,2015,1,1,4,AA,219,N3KYAA,LAX,SFO,1800,1757,-3,16.0,1813.0,80,76.0,56.0,337,1909.0,4.0,1920,1913,-7,0,0,,,,,,
